date,dish_id,dish_name,category,qty_sold,restaurant_id,price
2025-06-09,1,Paneer Tikka,Dairy,2.16,1,12.5
2025-06-09,2,Tomato Soup,Vegetables,1.03,1,8.0
2025-06-09,3,Onion Rings,Vegetables,4.86,1,6.5
2025-06-09,4,Chicken Curry,Meat,3.31,1,15.0
2025-06-09,5,Mutton Biryani,Meat,1.77,1,18.0
2025-06-09,6,Grilled Salmon,Fish,4.9,1,22.0
2025-06-09,7,Egg Fried Rice,Meat,4.05,1,10.0
2025-06-09,8,Basmati Rice,Other,3.58,1,5.0
2025-06-09,9,Sugar Cookie,Other,2.39,1,3.5
2025-06-10,1,Paneer Tikka,Dairy,2.47,1,12.5
2025-06-10,2,Tomato Soup,Vegetables,1.19,1,8.0
2025-06-10,3,Onion Rings,Vegetables,5.0,1,6.5
2025-06-10,4,Chicken Curry,Meat,3.38,1,15.0
2025-06-10,5,Mutton Biryani,Meat,1.94,1,18.0
2025-06-10,6,Grilled Salmon,Fish,5.12,1,22.0
2025-06-10,7,Egg Fried Rice,Meat,4.48,1,10.0
2025-06-10,8,Basmati Rice,Other,3.79,1,5.0
2025-06-10,9,Sugar Cookie,Other,2.48,1,3.5
2025-06-11,1,Paneer Tikka,Dairy,2.17,1,12.5
2025-06-11,2,Tomato Soup,Vegetables,1.09,1,8.0
2025-06-11,3,Onion Rings,Vegetables,5.26,1,6.5
2025-06-11,4,Chicken Curry,Meat,3.76,1,15.0
2025-06-11,5,Mutton Biryani,Meat,2.14,1,18.0
2025-06-11,6,Grilled Salmon,Fish,5.35,1,22.0
2025-06-11,7,Egg Fried Rice,Meat,4.5,1,10.0
2025-06-11,8,Basmati Rice,Other,4.06,1,5.0
2025-06-11,9,Sugar Cookie,Other,2.43,1,3.5
2025-06-12,1,Paneer Tikka,Dairy,2.15,1,12.5
2025-06-12,2,Tomato Soup,Vegetables,0.74,1,8.0
2025-06-12,3,Onion Rings,Vegetables,5.08,1,6.5
2025-06-12,4,Chicken Curry,Meat,3.48,1,15.0
2025-06-12,5,Mutton Biryani,Meat,2.3,1,18.0
2025-06-12,6,Grilled Salmon,Fish,5.37,1,22.0
2025-06-12,7,Egg Fried Rice,Meat,4.26,1,10.0
2025-06-12,8,Basmati Rice,Other,4.05,1,5.0
